,Barridas ganadas,Intercepciones,Despejes,Despejes por alto,Regateado,Error que llevó al gol,Errores que terminan el disparo,Posesiones ganadas en el último tercio,Faltas cometidas,Barridas totales
726,0,0,1,,0,,,,0,0
733,0,0,0,,0,,,,0,0
745,3,0,4,,0,,,,0,3
747,1,2,1,,0,,,,8,1
748,1,0,0,,0,,,,2,1
749,0,2,1,,0,,,,0,0
752,2,1,1,,0,,,,0,3
756,0,1,3,,0,,,,0,0
761,1,1,2,,0,,,,0,1
763,0,1,1,,0,,,,4,0
765,0,0,2,,0,,,,1,0
766,1,0,0,,1,,1,,0,1
769,0,1,1,,0,,,1,3,0
772,1,1,0,,1,,,,0,1
774,0,1,1,,0,,,,0,0
781,2,0,1,,1,,,,2,2
782,0,1,0,,1,,,,1,0
785,0,0,4,,0,,,,1,0
788,1,1,4,,1,,,,0,1
790,0,0,3,,1,,,,2,0
793,0,0,0,,0,,,,0,0
796,0,0,0,,0,,,,0,0
797,0,0,0,,0,,,,2,0
802,0,1,8,,0,,,,1,0
804,0,0,7,,1,,,,1,0
805,3,0,2,,0,,,1,0,5
808,3,2,6,,2,,,,4,4
811,0,1,6,,2,,,,4,0
819,1,0,1,,1,,,1,0,1
821,1,2,4,,0,,,,0,1
824,2,0,2,,0,,,,1,3
825,0,0,5,,0,,,,1,0
828,0,2,3,,0,,,,1,0
830,0,1,5,,1,,,1,0,0
831,1,3,2,,1,,,,0,1
836,0,0,0,,1,,,,0,0
838,0,0,6,,0,,,,0,0
839,0,0,2,,0,,,,0,0
840,1,0,4,,0,,,,2,1
841,3,1,5,,2,,,,2,5
848,2,0,5,,3,,,,0,2
853,1,0,2,,0,,,,0,1
856,0,0,1,,0,,,,0,0
859,2,0,2,,1,,,,0,2
861,0,0,9,,0,,,,1,0
863,0,1,3,,0,,,,2,0
868,3,2,3,,3,,,1,2,6
869,0,1,8,,0,,,,0,0
875,0,1,3,,0,,,,1,0
877,0,0,0,,0,,,,2,0
882,1,1,5,,0,,,,1,1
883,0,0,4,,1,1,,1,0,0
885,1,0,1,,0,,,,0,1
892,2,0,2,,3,,,,0,4
893,1,1,9,,1,,,,1,1
900,0,0,2,,0,,,,1,0
902,0,2,3,,0,,,,0,0
903,2,2,2,,1,,,1,0,3
905,2,0,0,,0,,,,0,2
908,2,0,1,,1,,,,1,2
910,0,0,3,,0,,,,2,0
917,0,1,2,,1,,,1,0,0
920,0,2,3,,0,,,,0,0
924,0,1,1,,0,,,,0,0
925,1,0,1,,0,,,,0,2
927,0,2,5,,0,,,,1,0
928,0,0,2,,0,,,,0,0
929,0,0,1,,1,,,2,0,0
937,0,0,3,,0,,,,1,0
944,0,1,1,,0,,,,1,0
946,1,0,5,,3,,,,1,2
948,1,0,2,,2,,,,0,1
949,1,0,2,,0,,,,3,1
953,0,0,7,,0,,,,1,0
958,0,1,5,,0,,,,1,0
960,0,1,1,,1,,,,2,0
961,0,1,6,,0,,,,1,0
969,0,1,6,,0,,,,0,0
973,1,0,2,,0,,1,1,0,2
975,1,0,1,,0,,,,0,1
978,1,1,1,,3,,,,1,3
980,0,0,1,,0,,,,0,0
985,1,0,5,,0,,,,0,1
987,1,0,1,,1,,,,1,1
992,1,1,3,,0,,,,0,2
996,2,0,4,,1,,,,2,2
997,4,2,2,,5,,,,6,6
998,1,5,7,,0,,,,0,1
1008,1,1,1,,0,,,1,0,1
1009,0,0,2,,0,,,,1,0
1012,1,0,4,,0,,,,0,1
1014,0,0,0,,0,,,,1,0
1015,0,0,0,,0,,,,1,0
1018,1,1,4,,1,,,,0,2
1019,0,1,1,,1,,,,2,0
1028,0,0,8,,0,,,,1,0
1029,0,1,4,,0,,,,1,0
1030,1,3,2,,0,,,1,0,2
1035,0,0,2,,0,,,,0,0
1040,0,3,0,,0,,,,0,0
1041,1,1,8,,0,,,,1,1
1043,1,2,1,,1,,,,1,2
1050,0,1,2,,0,,,,1,0
1055,0,0,4,,0,,,,0,0
1056,1,0,2,,0,,,,0,1
1058,0,0,3,,0,,,,0,0
1059,0,1,6,,1,,,,1,0
1060,0,1,4,,0,,,,0,0
1061,0,0,1,,0,,,,0,0
1063,0,1,12,,1,,,,1,0
1066,2,0,2,,1,,,,0,2
1074,2,0,3,,1,,,,0,2
1077,2,1,3,,0,,,1,1,2
1080,2,1,7,,1,,,1,3,2
1090,0,1,3,,0,,1,,2,0
1095,1,3,7,,1,,,,0,1
1097,1,0,1,,0,,,,0,1
1098,1,1,1,,0,,,,2,1
1100,0,0,0,,0,,,,1,0
1101,2,1,4,,2,,,,0,4
1109,0,1,2,,0,,,,4,0
1110,1,1,2,,2,,,,1,1
1118,0,1,1,,0,,,,0,0
1119,1,0,5,,0,,,,2,1
1121,0,0,0,,0,,,,1,0
1122,2,0,5,,0,,,,2,2
1125,2,3,3,,4,,,,2,2
1128,1,1,4,,1,,,,4,1
1129,0,1,2,,0,,,,1,0
1138,1,0,1,,0,,,,0,5
1141,2,1,2,,1,,,,1,2
1143,2,2,1,,2,,,,2,2
1144,2,0,2,,0,,,,2,3
1147,1,2,6,,0,,,,1,2
1148,0,0,0,,0,,,,0,0
1153,0,0,0,,1,,,,0,0
1155,2,0,9,,0,,,,0,2
1160,5,0,3,,1,,,,0,5
1167,0,2,3,,0,,,,2,0
1168,0,0,9,,1,,,,0,0
1174,2,1,2,,0,,,,2,2
1177,0,0,1,,1,,,,0,0
1178,1,0,2,,0,,,,0,1
1184,1,0,7,,1,,,,0,1
1185,2,0,0,,2,,,,2,2
1188,0,2,0,,0,,,,2,0
1191,0,0,0,,0,,,,1,0
1194,1,2,2,,0,,,,2,1
1200,2,1,7,,1,,,,3,3
1201,1,0,0,,1,,,,1,1
1203,3,1,5,,3,,,,0,6
1205,1,3,1,,2,,,,1,2
1207,0,0,3,,0,,,,0,0
